instrument_key,exchange_token,tradingsymbol,name,last_price
NSE_EQ|INE242A01010,1624,IOC,INDIAN OIL CORP LTD,138.65
NSE_EQ|INE692A01016,10753,UNIONBANK,UNION BANK OF INDIA,143.48
NSE_EQ|INE04I401011,9683,KPITTECH,KPIT TECHNOLOGIES LIMITED,1394.5
NSE_EQ|INE263A01024,383,BEL,BHARAT ELECTRONICS LTD,408.25
NSE_EQ|INE020B01018,15355,RECLTD,REC LIMITED,394.45
NSE_EQ|INE685A01028,3518,TORNTPHARM,TORRENT PHARMACEUTICALS L,3167.2
NSE_EQ|INE647A01010,3273,SRF,SRF LTD,3030.1
NSE_EQ|INE860A01027,7229,HCLTECH,HCL TECHNOLOGIES LTD,1739.9
NSE_EQ|INE0BS701011,25049,PREMIERENE,PREMIER ENERGIES LIMITED,1028.4
NSE_EQ|INE00H001014,27066,SWIGGY,SWIGGY LIMITED,389.5
NSE_EQ|INE457A01014,11377,MAHABANK,BANK OF MAHARASHTRA,53.87
NSE_EQ|INE171A01029,1023,FEDERALBNK,FEDERAL BANK LTD,207.51
NSE_EQ|INE262H01021,18365,PERSISTENT,PERSISTENT SYSTEMS LTD,6106.5
NSE_EQ|INE084A01016,4745,BANKINDIA,BANK OF INDIA,113.18
NSE_EQ|INE018E01016,17971,SBICARD,SBI CARDS & PAY SER LTD,945.6
NSE_EQ|INE0LXG01040,24777,OLAELEC,OLA ELECTRIC MOBILITY LTD,46.08
NSE_EQ|INE776C01039,13528,GMRAIRPORT,GMR AIRPORTS LIMITED,80.97
NSE_EQ|INE417T01026,6656,POLICYBZR,PB FINTECH LIMITED,1901.3
NSE_EQ|INE415G01027,9552,RVNL,RAIL VIKAS NIGAM LIMITED,390.6
NSE_EQ|INE821I01022,15313,IRB,IRB INFRA DEV LTD.,48.63
NSE_EQ|INE323A01026,2181,BOSCHLTD,BOSCH LIMITED,32290
NSE_EQ|INE214T01019,17818,LTIM,LTIMINDTREE LIMITED,5376.5
NSE_EQ|INE176B01034,9819,HAVELLS,HAVELLS INDIA LIMITED,1533.5
NSE_EQ|INE545U01014,2263,BANDHANBNK,BANDHAN BANK LIMITED,180.05
NSE_EQ|INE249Z01020,509,MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,3256.4
NSE_EQ|INE343H01029,13332,SOLARINDS,SOLAR INDUSTRIES (I) LTD,16996
NSE_EQ|INE758T01015,5097,ETERNAL,ETERNAL LIMITED,253.33
NSE_EQ|INE154A01025,1660,ITC,ITC LTD,418.55
NSE_EQ|INE455K01017,9590,POLYCAB,POLYCAB INDIA LIMITED,6000.5
NSE_EQ|INE406A01037,275,AUROPHARMA,AUROBINDO PHARMA LTD,1097.2
NSE_EQ|INE101A01026,2031,M&M,MAHINDRA & MAHINDRA LTD,3184.4
NSE_EQ|INE208A01029,212,ASHOKLEY,ASHOK LEYLAND LTD,235.15
NSE_EQ|INE303R01014,2955,KALYANKJIL,KALYAN JEWELLERS IND LTD,518.35
NSE_EQ|INE090A01021,4963,ICICIBANK,ICICI BANK LTD.,1427.1
NSE_EQ|INE628A01036,11287,UPL,UPL LIMITED,633.5
NSE_EQ|INE040H01021,12018,SUZLON,SUZLON ENERGY LIMITED,63.23
NSE_EQ|INE018A01030,11483,LT,LARSEN & TOUBRO LTD.,3662
NSE_EQ|INE092T01019,11184,IDFCFIRSTB,IDFC FIRST BANK LIMITED,70.19
NSE_EQ|INE347G01014,11351,PETRONET,PETRONET LNG LIMITED,295.4
NSE_EQ|INE067A01029,760,CGPOWER,CG POWER AND IND SOL LTD,688.25
NSE_EQ|INE438A01022,163,APOLLOTYRE,APOLLO TYRES LTD,439.8
NSE_EQ|INE423A01024,25,ADANIENT,ADANI ENTERPRISES LIMITED,2448.4
NSE_EQ|INE259A01022,15141,COLPAL,COLGATE PALMOLIVE LTD.,2402.3
NSE_EQ|INE765G01017,21770,ICICIGI,ICICI LOMBARD GIC LIMITED,1971
NSE_EQ|INE257A01026,438,BHEL,BHEL,250.45
NSE_EQ|INE774D01024,13285,M&MFIN,M&M FIN. SERVICES LTD,262.6
NSE_EQ|INE647O01011,30108,ABFRL,ADITYA BIRLA FASHION & RT,73.66
NSE_EQ|INE129A01019,4717,GAIL,GAIL (INDIA) LTD,181.85
NSE_EQ|INE481G01011,11532,ULTRACEMCO,ULTRATECH CEMENT LIMITED,11458
NSE_EQ|INE114A01011,2963,SAIL,STEEL AUTHORITY OF INDIA,127.48
NSE_EQ|INE935A01035,7406,GLENMARK,GLENMARK PHARMACEUTICALS,1636.7
NSE_EQ|INE003A01024,3150,SIEMENS,SIEMENS LTD,3214.2
NSE_EQ|INE029A01011,526,BPCL,BHARAT PETROLEUM CORP  LT,313.5
NSE_EQ|INE670A01012,3411,TATAELXSI,TATA ELXSI LIMITED,6319
NSE_EQ|INE200M01039,18921,VBL,VARUN BEVERAGES LIMITED,459.6
NSE_EQ|INE016A01026,772,DABUR,DABUR INDIA LTD,466.9
