symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,charges,pnl,holding_days
GRASIM,2021-05-28,2021-07-23,1437.7,1554.1375,64,SL,220.03,7231.97,56
APLAPOLLO,2021-07-16,2021-07-28,766.01,865.3021875,83,SL,159.69,8081.57,12
TATASTEEL,2021-06-28,2021-08-02,117.58,141.0,517,FORCED_2DAY_AFTER_TARGET,157.55,11950.59,35
ADANIENT,2021-06-21,2021-08-16,1511.52,1413.55,19,NO_TARGET,74.63,-1936.06,56
CANBK,2021-06-22,2021-08-16,30.75,30.95,1632,NO_TARGET,122.97,203.43,55
PHOENIXLTD,2021-08-02,2021-08-20,439.18,409.1,132,SL,135.42,-4105.98,18
SAIL,2021-08-12,2021-08-20,135.93,123.55,323,SL,105.15,-4103.89,8
PFC,2021-07-29,2021-08-23,102.01,98.1,1023,SL,235.12,-4235.05,25
BAJFINANCE,2021-08-17,2021-09-03,642.7,752.5,124,FORCED_2DAY_AFTER_TARGET,199.71,13415.49,17
ICICIBANK,2021-07-23,2021-09-06,663.6,721.15,163,FORCED_2DAY_AFTER_TARGET,256.69,9123.96,45
OIL,2021-08-23,2021-09-14,113.21,132.25,706,FORCED_2DAY_AFTER_TARGET,200.03,13242.21,22
OBEROIRLTY,2021-09-22,2021-09-28,739.68,886.6,117,FORCED_2DAY_AFTER_TARGET,218.01,16971.63,6
RECLTD,2021-09-22,2021-09-30,115.52,122.39343749999999,1204,SL,322.06,7953.56,8
HINDALCO,2021-08-25,2021-10-01,425.87,485.61906250000004,151,SL,162.03,8860.08,37
ADANIENT,2021-09-28,2021-10-01,1551.72,1455.0,41,SL,147.57,-4113.09,3
TORNTPHARM,2021-09-30,2021-10-01,1600.46,1517.9,48,SL,175.95,-4138.83,1
DABUR,2021-10-04,2021-10-08,623.3,609.0,279,SL,384.65,-4374.35,4
TORNTPOWER,2021-09-09,2021-10-12,487.63,530.2525,175,SL,205.68,7253.26,33
