symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,charges,pnl,holding_days
IGL,2023-04-10,2023-06-05,232.91,228.6,179,NO_TARGET,103.61,-875.1,56
TATACOMM,2023-05-25,2023-06-08,1268.31,1414.25,86,FORCED_2DAY_AFTER_TARGET,261.81,12289.03,14
INDUSINDBK,2023-05-09,2023-06-14,1140.32,1323.25,53,FORCED_2DAY_AFTER_TARGET,154.38,9540.91,36
OBEROIRLTY,2023-05-22,2023-06-16,928.72,1011.1600000000001,90,SL,201.88,7217.72,25
MPHASIS,2023-06-13,2023-06-23,1902.46,1843.0,67,SL,284.82,-4268.64,10
BANKBARODA,2023-06-19,2023-07-10,189.44,203.49328125,589,SL,262.92,8014.46,21
ADANIPORTS,2023-05-23,2023-07-17,757.17,730.1,40,NO_TARGET,78.78,-1161.58,55
POLICYBZR,2023-06-07,2023-07-17,631.79,741.35,94,FORCED_2DAY_AFTER_TARGET,152.73,10145.91,40
SIEMENS,2023-07-12,2023-07-20,3794.88,3638.15,25,SL,214.81,-4133.06,8
JSWENERGY,2023-06-22,2023-08-17,278.28,352.55,149,FORCED_2DAY_AFTER_TARGET,114.96,10951.27,56
ABCAPITAL,2023-06-27,2023-08-21,182.91,179.25,268,NO_TARGET,119.16,-1100.04,55
FEDERALBNK,2023-07-17,2023-08-25,130.65,140.165625,952,SL,291.22,8767.65,39
TORNTPOWER,2023-07-06,2023-08-29,623.0,655.0,114,NO_TARGET,171.1,3476.9,54
ASTRAL,2023-08-17,2023-09-04,2045.07,1900.0,27,SL,129.55,-4046.44,18
RVNL,2023-07-24,2023-09-12,139.7,178.2275,194,SL,80.49,7393.84,50
TVSMOTOR,2023-07-26,2023-09-18,1395.39,1489.55,39,NO_TARGET,135.43,3536.81,54
M&M,2023-08-29,2023-10-04,1560.76,1508.2,76,SL,265.78,-4260.34,36
COALINDIA,2023-09-05,2023-10-13,234.87,292.7,205,FORCED_2DAY_AFTER_TARGET,130.12,11725.03,38
INFY,2023-10-05,2023-10-13,1457.2,1418.2,102,SL,330.34,-4308.34,8
AXISBANK,2023-10-17,2023-10-18,1014.5,990.0,163,SL,366.29,-4359.79,1
JINDALSTEL,2023-08-29,2023-10-23,663.75,637.05,130,NO_TARGET,196.8,-3667.8,55
PAYTM,2023-09-15,2023-10-23,871.69,968.35703125,85,SL,182.27,8034.43,38
LODHA,2023-09-27,2023-10-26,799.98,715.9,47,SL,91.64,-4043.4,29
TORNTPOWER,2023-10-27,2023-11-16,733.55,819.675,96,SL,174.42,8093.58,20
DLF,2023-10-30,2023-11-16,540.99,630.25,145,FORCED_2DAY_AFTER_TARGET,196.35,12746.35,17
RECLTD,2023-10-30,2023-11-16,278.99,330.35,204,FORCED_2DAY_AFTER_TARGET,147.59,10329.85,17
MOTILALOFS,2023-10-30,2023-11-20,244.97,298.7,213,FORCED_2DAY_AFTER_TARGET,138.38,11306.11,21
PAYTM,2023-10-30,2023-11-29,921.28,870.0,78,SL,165.25,-4165.09,30
MUTHOOTFIN,2023-11-16,2023-12-05,1323.84,1434.1,69,FORCED_2DAY_AFTER_TARGET,218.75,7389.19,19
GAIL,2023-11-30,2023-12-07,122.11,136.55,1010,FORCED_2DAY_AFTER_TARGET,294.5,14289.9,7
COLPAL,2023-10-31,2023-12-08,2101.35,2282.0024999999996,41,SL,207.39,7199.36,38
PATANJALI,2023-11-29,2023-12-08,1353.74,1602.95,98,FORCED_2DAY_AFTER_TARGET,324.41,24098.17,9
CIPLA,2023-12-08,2023-12-11,1231.12,1197.0,117,SL,320.45,-4312.49,3
IRFC,2023-12-11,2023-12-19,78.04,100.1,1162,FORCED_2DAY_AFTER_TARGET,235.35,25398.37,8
ASHOKLEY,2023-12-14,2023-12-20,171.15,165.05,655,SL,251.78,-4247.28,6
OIL,2023-12-15,2023-12-21,219.74,248.60015625,286,SL,158.12,8095.88,6
MANKIND,2023-12-14,2024-01-05,1888.39,2057.65,65,FORCED_2DAY_AFTER_TARGET,289.65,10712.25,22
M&MFIN,2024-01-05,2024-01-10,281.05,272.0,441,SL,277.24,-4268.29,5
INDUSINDBK,2023-12-05,2024-01-17,1525.14,1650.75,59,SL,215.62,7195.37,43
DRREDDY,2023-12-22,2024-02-05,1124.39,1218.9,132,FORCED_2DAY_AFTER_TARGET,346.33,12128.99,45
NYKAA,2023-12-22,2024-02-07,168.64,157.0,343,SL,135.12,-4127.64,47
